Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,175.00,29.10,29.10,28.10,28.30,28.30,30.90,4.00,43.99,6.19,324000.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,177.50,-,-,-,29.25,29.25,28.55,-,-,-,64800.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,180.00,24.00,26.00,23.85,25.25,25.25,26.25,22.00,243.70,29.86,1215000.00,-97200.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,182.50,-,-,-,23.40,23.40,24.05,-,-,-,129600.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,185.00,21.00,21.50,21.00,21.45,21.30,21.45,4.00,44.57,4.61,691200.00,-16200.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,187.50,19.80,19.80,19.80,19.80,19.80,19.80,1.00,11.19,1.07,86400.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,190.00,18.00,18.00,15.40,17.00,17.00,17.00,18.00,201.04,16.36,1053000.00,-16200.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,192.50,-,-,-,15.90,15.90,15.95,-,-,-,280800.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,195.00,13.00,13.15,10.80,13.15,13.15,14.15,11.00,122.85,7.02,734400.00,10800.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,197.50,10.90,11.50,9.95,11.35,11.40,11.35,10.00,112.58,5.93,178200.00,-27000.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,200.00,10.45,10.80,7.70,9.80,9.60,9.80,438.00,4949.04,218.64,3083400.00,-189000.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,202.50,8.25,8.80,6.60,8.25,8.25,8.25,39.00,442.65,16.18,145800.00,10800.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,205.00,7.00,8.10,5.30,6.95,7.00,6.95,349.00,3988.41,124.98,1458000.00,-27000.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,207.50,6.75,6.75,4.65,5.80,5.80,5.80,161.00,1853.23,49.22,594000.00,5400.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,210.00,5.45,5.60,3.65,4.85,4.85,4.85,593.00,6874.35,149.73,3240000.00,75600.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,212.50,4.80,4.80,3.60,4.05,4.05,4.05,21.00,245.79,4.82,183600.00,-21600.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,215.00,3.90,4.00,2.55,3.40,3.40,3.40,333.00,3926.02,59.89,2138400.00,27000.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,217.50,2.30,2.95,2.20,2.75,2.75,2.75,17.00,202.02,2.36,901800.00,27000.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,220.00,2.55,2.80,1.80,2.30,2.40,2.30,426.00,5112.73,51.85,2370600.00,64800.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,222.50,2.15,2.20,1.80,1.90,1.90,1.90,15.00,181.81,1.59,91800.00,21600.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,225.00,1.85,1.85,1.20,1.55,1.50,1.55,144.00,1761.14,11.54,1328400.00,-54000.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,227.50,1.40,1.40,1.00,1.30,1.30,1.30,38.00,469.37,2.54,718200.00,-43200.00,204.80
